X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0505368215219,38.8440249177983,43358816,38.844015,-77.050537,Potomac Ave & 35th St S,classic,118,active,2022/06/28 22:08:40+00,7,0,8,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.046577360941,38.8841320394555,43358817,38.88412,-77.04657,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,classic,124,active,2022/06/28 21:55:36+00,8,0,21,0,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,31,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0269774538935,38.8978669750581,43358818,38.897857,-77.026975,11th & F St NW,classic,125,active,2022/06/28 22:17:35+00,9,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0498820675212,38.8961118167468,43358819,38.896104,-77.049882,23rd & E St NW ,classic,126,active,2022/06/28 22:27:22+00,12,0,6,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0709902554103,38.8973260340214,43358820,38.897315,-77.070993,Lynn St & 19th St North,classic,127,active,2022/06/28 22:09:06+00,13,1,9,0,4,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0723016626069,38.8946047020849,43358821,38.8946,-77.072305,Wilson Blvd & Ft Myer Dr,classic,128,active,2022/06/28 21:56:33+00,9,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0763926261842,38.8934490265601,43358822,38.893438,-77.076389,Clarendon Blvd & Pierce St,classic,129,active,2022/06/28 21:15:51+00,9,0,6,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0845978821829,38.8917047556336,43358823,38.891696,-77.0846,Wilson Blvd & N Uhle St,classic,130,active,2022/06/28 21:29:24+00,13,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0793767301253,38.8921678475833,43358824,38.892164,-77.079375,Rhodes St & 16th St N,classic,131,active,2022/06/28 20:22:57+00,9,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-76.9521026698519,38.865601226059,43358825,38.86559,-76.952103,Fairfax Village,classic,132,active,2022/06/28 15:53:35+00,14,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0465712744193,38.8924647935201,43358826,38.892459,-77.046567,21st St & Constitution Ave NW,classic,133,active,2022/06/28 18:58:29+00,15,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
